Site,site_lat,site_long,district,district_long,district_lat,year,count
Forlanini,2.046441667,45.360275,Karaan,45.39,2.065160176,2012,389
Forlanini,2.046441667,45.360275,Karaan,45.39,2.065160176,2013,848
Forlanini,2.046441667,45.360275,Karaan,45.39,2.065160176,2014,10
Forlanini,2.046441667,45.360275,Karaan,45.39,2.065160176,2015,845
Forlanini,2.046441667,45.360275,Forlanini,45.360275,2.046441667,2015,194
Forlanini,2.046441667,45.360275,Shabelle Dhexe,46.10327,2.96066,2012,94
Forlanini,2.046441667,45.360275,Shabelle Dhexe,46.10327,2.96066,2013,23
Forlanini,2.046441667,45.360275,Shabelle Dhexe,46.10327,2.96066,2015,52
Forlanini,2.046441667,45.360275,Shabelle Hoose,44.34197,1.79194,2012,20
Forlanini,2.046441667,45.360275,Shabelle Hoose,44.34197,1.79194,2013,6
Forlanini,2.046441667,45.360275,Shabelle Hoose,44.34197,1.79194,2015,14
Forlanini,2.046441667,45.360275,Abdiasis,45.36,2.040449815,2015,803
Forlanini,2.046441667,45.360275,Bay,43.56644,2.65301,2012,3
Forlanini,2.046441667,45.360275,Bay,43.56644,2.65301,2015,3
Forlanini,2.046441667,45.360275,Baardheere,42.288,2.339,2015,7
Forlanini,2.046441667,45.360275,Madino,42.60051,0.82171,2012,12
Forlanini,2.046441667,45.360275,Madino,42.60051,0.82171,2013,2
Forlanini,2.046441667,45.360275,Madino,42.60051,0.82171,2015,4
Forlanini,2.046441667,45.360275,Yaaqshiid,45.35,2.06777077,2012,123
Forlanini,2.046441667,45.360275,Yaaqshiid,45.35,2.06777077,2013,122
Forlanini,2.046441667,45.360275,Yaaqshiid,45.35,2.06777077,2015,15
Forlanini,2.046441667,45.360275,Cabdicasiis,45.36,2.040449815,2012,72
Forlanini,2.046441667,45.360275,Cabdicasiis,45.36,2.040449815,2013,128
Forlanini,2.046441667,45.360275,Cabdicasiis,45.36,2.040449815,2015,468
Forlanini,2.046441667,45.360275,Galgaduud,46.81808,5.03349,2012,2
Forlanini,2.046441667,45.360275,Galgaduud,46.81808,5.03349,2015,4
Forlanini,2.046441667,45.360275,Shibis,45.35,2.047637896,2012,54
Forlanini,2.046441667,45.360275,Shibis,45.35,2.047637896,2013,75
Forlanini,2.046441667,45.360275,Shibis,45.35,2.047637896,2015,7
Forlanini,2.046441667,45.360275,Xamar JaabJab,45.33,2.027641272,2012,5
Forlanini,2.046441667,45.360275,Xamar JaabJab,45.33,2.027641272,2013,9
Forlanini,2.046441667,45.360275,Xamar JaabJab,45.33,2.027641272,2015,3
